DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,PAX
2012-05-12,ORD,Chicago,41.978603,-87.904842,LGA,New York,40.777245,-73.872608,16.3043478261,14.1467464381,3
2012-02-29,SFO,San Francisco,37.618972,-122.374889,SEA,Seattle,47.449,-122.309306,10.8947368421,9.49792221045,3
2012-03-09,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,9.444444444439998,7.35024787275,3
2012-04-17,DFW,Dallas-Fort Worth,32.896828,-97.037997,ATL,Atlanta,33.636719,-84.428067,7.666666666669999,5.43409714347,3
2012-09-27,LAX,Los Angeles,33.942536,-118.408075,LAS,Las Vegas,36.080056,-115.15225,18.702702702699998,13.059404582400001,3
2012-02-27,DFW,Dallas-Fort Worth,32.896828,-97.037997,DEN,Denver,39.861655999999996,-104.67317800000001,9.15,6.8462436877199995,3
2012-02-16,LAX,Los Angeles,33.942536,-118.408075,SEA,Seattle,47.449,-122.309306,10.05,6.80150912047,3
2012-02-01,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,9.833333333330001,7.67156706133,3
2012-07-26,LAX,Los Angeles,33.942536,-118.408075,DFW,Dallas-Fort Worth,32.896828,-97.037997,16.636363636400002,12.2444328723,3
2012-05-21,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,10.25,7.635615992110001,3
2013-02-28,ORD,Chicago,41.978603,-87.904842,SFO,San Francisco,37.618972,-122.374889,9.352941176469999,8.594628965750001,3
2011-11-16,ORD,Chicago,41.978603,-87.904842,DTW,Detroit,42.212444,-83.353389,8.31578947368,6.0374077548,3
2013-02-15,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,9.77777777778,8.01142974356,3
2012-11-12,SFO,San Francisco,37.618972,-122.374889,SEA,Seattle,47.449,-122.309306,8.88888888889,6.067162229269999,3
2011-09-26,DTW,Detroit,42.212444,-83.353389,LGA,New York,40.777245,-73.872608,7.4117647058800005,5.71247345212,3
2011-12-15,SFO,San Francisco,37.618972,-122.374889,EWR,Newark,40.6925,-74.168667,11.9545454545,9.45403553403,3
2011-09-18,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,13.6785714286,8.51166333324,3
2011-12-01,ORD,Chicago,41.978603,-87.904842,DEN,Denver,39.861655999999996,-104.67317800000001,9.05882352941,6.85082648513,3
2012-03-15,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,11.7391304348,9.401244556410001,3
2012-05-04,LAS,Las Vegas,36.080056,-115.15225,DFW,Dallas-Fort Worth,32.896828,-97.037997,12.0454545455,9.32726302287,3
2012-06-27,EWR,Newark,40.6925,-74.168667,ORD,Chicago,41.978603,-87.904842,12.76,8.57457481939,3
2012-02-05,LGA,New York,40.777245,-73.872608,ORD,Chicago,41.978603,-87.904842,8.0,5.04975246918,3
2012-10-17,ORD,Chicago,41.978603,-87.904842,DTW,Detroit,42.212444,-83.353389,9.94117647059,10.2620087473,3
2012-05-07,DFW,Dallas-Fort Worth,32.896828,-97.037997,ATL,Atlanta,33.636719,-84.428067,7.529411764710001,6.0220184226199995,3
2012-05-22,ATL,Atlanta,33.636719,-84.428067,LAX,Los Angeles,33.942536,-118.408075,12.2272727273,9.75378714328,3
2012-11-25,SFO,San Francisco,37.618972,-122.374889,ORD,Chicago,41.978603,-87.904842,10.3,7.637166738360001,3
2011-12-06,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,13.2307692308,10.5006959476,3
2012-01-13,BOS,Boston,42.364346999999995,-71.00518100000001,LGA,New York,40.777245,-73.872608,4.11111111111,2.93446947694,3
2012-05-17,LGA,New York,40.777245,-73.872608,DTW,Detroit,42.212444,-83.353389,11.304347826099999,8.99714491385,3
2012-11-13,DEN,Denver,39.861655999999996,-104.67317800000001,SFO,San Francisco,37.618972,-122.374889,11.619047619000002,8.87398552217,3
2012-10-10,DEN,Denver,39.861655999999996,-104.67317800000001,SFO,San Francisco,37.618972,-122.374889,10.4736842105,8.454902726639999,3
2012-06-10,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,13.724137931,9.68023225712,3
2011-10-02,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,13.6206896552,9.313637440039999,3
2012-02-02,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,14.222222222200001,11.1677190472,3
2013-02-25,ORD,Chicago,41.978603,-87.904842,IAH,Houston,29.984433000000003,-95.341442,6.076923076919999,4.03033370127,3
2011-10-07,ATL,Atlanta,33.636719,-84.428067,PHL,Philadelphia,39.871944,-75.241139,10.0555555556,7.779854998060001,3
2012-01-18,ORD,Chicago,41.978603,-87.904842,BOS,Boston,42.364346999999995,-71.00518100000001,9.352941176469999,7.4072698789,3
2012-10-21,BOS,Boston,42.364346999999995,-71.00518100000001,LAX,Los Angeles,33.942536,-118.408075,13.892857142899999,8.84156549618,3
2011-11-04,SFO,San Francisco,37.618972,-122.374889,DFW,Dallas-Fort Worth,32.896828,-97.037997,13.5,9.51314879522,3
2012-05-20,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,11.956521739100001,8.444892274839999,3
2012-04-17,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,8.46666666667,7.7907148642,3
2011-09-29,DTW,Detroit,42.212444,-83.353389,ORD,Chicago,41.978603,-87.904842,10.8947368421,8.633878598239999,3
