,FYear,FMonth,FDay,FD06,Departure,CityDeparture,Arrival,CityArrival,WeekOfYear,Trimester,Distance,Start,Finish
0,2011,12,05,0.0,15,3,6,13,49.0,3.0,10,NE,NE
1,2013,03,01,4.0,0,0,11,12,9.0,1.0,6,SE,NE
2,2012,02,06,0.0,15,3,1,1,6.0,1.0,22,NE,NE
3,2012,12,10,0.0,15,3,19,17,50.0,3.0,41,NE,SW
4,2012,04,13,4.0,19,17,8,12,15.0,1.0,51,SW,NE
5,2011,11,19,5.0,19,17,10,9,46.0,3.0,52,SW,SW
6,2012,04,09,0.0,11,12,4,4,15.0,1.0,30,NE,SE
7,2012,05,29,1.0,0,0,16,15,22.0,1.0,1,SE,SE
8,2012,09,28,4.0,10,9,15,3,39.0,3.0,39,SW,NE
9,2012,02,12,6.0,8,12,19,17,6.0,1.0,51,NE,SW
10,2011,09,17,5.0,6,13,0,0,37.0,3.0,3,NE,SE
11,2012,06,17,6.0,19,17,10,9,24.0,2.0,52,SW,SW
12,2011,12,28,2.0,10,9,8,12,52.0,3.0,48,SW,NE
13,2011,10,09,6.0,10,9,3,5,40.0,3.0,17,SW,SW
14,2012,12,01,5.0,0,0,12,14,48.0,3.0,55,SE,SE
15,2012,12,21,4.0,5,6,0,0,51.0,3.0,57,NE,SE
16,2012,06,13,2.0,16,15,12,14,24.0,2.0,9,SE,SE
17,2012,07,15,6.0,16,15,12,14,28.0,2.0,9,SE,SE
18,2012,02,05,6.0,19,17,1,1,5.0,1.0,53,SW,NE
19,2012,12,26,2.0,0,0,4,4,52.0,3.0,5,SE,SE
20,2012,04,25,2.0,0,0,11,12,17.0,1.0,6,SE,NE
21,2012,10,04,3.0,11,12,4,4,40.0,3.0,30,NE,SE
22,2012,11,10,5.0,9,8,8,12,45.0,3.0,46,SW,NE
23,2013,01,26,5.0,15,3,5,6,4.0,1.0,44,NE,NE
24,2012,11,22,3.0,6,13,1,1,47.0,3.0,36,NE,NE
25,2012,11,29,3.0,13,10,8,12,48.0,3.0,19,SE,NE
